mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.14475576082865396,0.021117430295268982,0.013832569122314453,0.003005744006984661,True,3,0.8,1,2,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40, 'random_state': 42}",-0.18762867380219003,-0.27545786017057644,-0.5833012433130688,-0.34879592576194507,0.169652683374688,2481,-0.3498597708506283,-0.34932464035342425,-0.3492905334899118,-0.3494916482313215,0.00026067414738029906
0.2767926851908366,0.041488408865538916,0.01831952730814616,0.006099836180857856,True,3,0.8,1,2,60,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 60, 'random_state': 42}",-0.16215529987785512,-0.20384888976444518,-0.5882502507874783,-0.31808481347659284,0.19179261629417033,1879,-0.3411911351834559,-0.3405349909973289,-0.3401449044371853,-0.3406236768726567,0.0004317009628376775
0.33350634574890137,0.021586453519619027,0.01668230692545573,0.0054149837366307815,True,3,0.8,1,2,80,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 42}",-0.1649628464575049,-0.21121497953513466,-0.5888060776849038,-0.3216613012258478,0.18984127342875493,2173,-0.34636380389986704,-0.3456861303222195,-0.34513157444213755,-0.3457271695547413,0.0005038918687433964
0.4270978768666585,0.05639702959968853,0.0261074701944987,0.004572875989207686,True,3,0.8,1,2,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-0.1577681654624062,-0.20361919864093384,-0.5882413779336072,-0.31654291401231577,0.19302956730990994,1682,-0.34493178725319223,-0.34421757978480677,-0.3436219791844411,-0.34425711540748005,0.0005354571836829529
0.6397146383921305,0.04097197137279434,0.03905423482259115,0.00228670847799451,True,3,0.8,1,2,150,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'random_state': 42}",-0.14799900058122514,-0.2278721334952409,-0.5968367769276394,-0.3242359703347018,0.19549651174503535,2311,-0.3344918286689261,-0.3335865072794651,-0.3331600628691839,-0.33374613293919175,0.0005552838912202874
0.1995836098988851,0.046676985667835645,0.016765912373860676,0.00011814297503741799,True,3,0.8,1,3,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 40, 'random_state': 42}",-0.18762867380219003,-0.27545786017057644,-0.5833012433130688,-0.34879592576194507,0.169652683374688,2481,-0.3498597708506283,-0.34932464035342425,-0.3492905334899118,-0.3494916482313215,0.00026067414738029906
0.2676190535227458,0.0529682147228332,0.013772805531819662,0.005623255210735976,True,3,0.8,1,3,60,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 60, 'random_state': 42}",-0.16215529987785512,-0.20384888976444518,-0.58857185694942,-0.31819201553057347,0.1919436251327774,1893,-0.3411911351834559,-0.3405411370861815,-0.3401217567657491,-0.3406180096784621,0.00043994287253933947
0.39592846234639484,0.08738305395172326,0.011845986048380533,0.00042852542690459313,True,3,0.8,1,3,80,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 80, 'random_state': 42}",-0.1649628464575049,-0.21121497953513466,-0.5890472823063604,-0.32174170276633335,0.18995441487100703,2180,-0.34636380389986704,-0.34569073988885896,-0.34511225742517776,-0.3457222670713012,0.0005114278163477577
0.30263590812683105,0.022853366403247106,0.01966373125712077,0.0050560708279750516,True,3,0.8,1,3,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",-0.1577681654624062,-0.20361919864093384,-0.5884343416307729,-0.3166072352447043,0.19312010276086725,1688,-0.34493178725319223,-0.3442212674381183,-0.3436073292486255,-0.34425346131331197,0.0005411867118750534
0.8495674133300781,0.3661133955516087,0.039641221364339195,0.01724362035773213,True,3,0.8,1,3,150,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 150, 'random_state': 42}",-0.14741133138163168,-0.22914018684247495,-0.597482375604144,-0.32467796460941684,0.19576616399396812,2321,-0.3351479773012154,-0.33425374785046175,-0.3338099744014613,-0.3344038998510461,0.0005564603354521198
0.17472163836161295,0.04271097846610686,0.012547016143798828,0.0038435935128182646,True,3,0.8,1,5,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40, 'random_state': 42}",-0.1624355304561281,-0.2515636162087103,-0.597016016555699,-0.33700505440684586,0.18742150222721546,2461,-0.3474825575868539,-0.3466954585116076,-0.34655728614820874,-0.3469117674155568,0.00040753238336676525
