mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.0871192216873169,0.0039032697677612305,0.0042150020599365234,2.5987625122070312e-05,True,3,0.8,1,2,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40, 'random_state': 42}",-0.9133796375850197,-1.3559893624069121,-1.134684499995966,0.2213048624109462,312,-1.6090344047807288,-1.6086235023377888,-1.6088289535592588,0.00020545122146997663
0.21688055992126465,0.00019359588623046875,0.016643047332763672,0.00650787353515625,True,3,0.8,1,2,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-0.5001645891227652,-0.8411823452483499,-0.6706734671855575,0.17050887806279236,32,-1.6013440594241417,-1.5988591999950605,-1.6001016297096011,0.0012424297145405827
0.5082690715789795,0.026636600494384766,0.02556014060974121,0.009220123291015625,True,3,0.8,1,2,200,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",-0.5836619276440099,-0.8146711546506477,-0.6991665411473288,0.11550461350331886,59,-1.660859275214224,-1.655719959505308,-1.6582896173597659,0.002569657854457952
0.07656824588775635,0.0016504526138305664,0.005383729934692383,6.4849853515625e-05,True,3,0.8,1,5,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40, 'random_state': 42}",-0.9258416607085321,-1.2705791595094706,-1.0982104101090013,0.17236874940046926,300,-1.624321232025193,-1.6240691327590646,-1.6241951823921288,0.0001260496330641736
0.2642943859100342,0.0012021064758300781,0.014199256896972656,0.0029382705688476562,True,3,0.8,1,5,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-0.5115728107478138,-0.817931916609116,-0.6647523636784649,0.1531795529306511,30,-1.5917458314484372,-1.5893150788845367,-1.590530455166487,0.0012153762819502312
0.49432623386383057,0.009713292121887207,0.017790675163269043,0.0013326406478881836,True,3,0.8,1,5,200,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",-0.551657487198087,-0.8048353022802733,-0.6782463947391801,0.12658890754109314,39,-1.6403124762390031,-1.6352532189520994,-1.6377828475955512,0.0025296286434518533
0.10718929767608643,0.0005136728286743164,0.006225228309631348,0.0006471872329711914,True,3,0.8,1,7,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 40, 'random_state': 42}",-0.9258416607085321,-1.2705791595094706,-1.0982104101090013,0.17236874940046926,300,-1.624321232025193,-1.6240691327590646,-1.6241951823921288,0.0001260496330641736
0.2244570255279541,0.00040531158447265625,0.008482575416564941,0.0013946294784545898,True,3,0.8,1,7,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 100, 'random_state': 42}",-0.5192314199936102,-0.82558914757811,-0.6724102837858601,0.15317886379224988,33,-1.6005424389780218,-1.598035275671708,-1.599288857324865,0.001253581653156921
0.42307186126708984,0.010241985321044922,0.015515923500061035,0.0031260251998901367,True,3,0.8,1,7,200,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 200, 'random_state': 42}",-0.5374800987897898,-0.7858378139718971,-0.6616589563808435,0.12417885759105368,29,-1.6470584109661461,-1.6415215819676123,-1.6442899964668793,0.0027684144992669024
0.08559703826904297,0.00624537467956543,0.008739471435546875,0.0020453929901123047,True,3,0.8,2,2,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 40, 'random_state': 42}",-0.9668781156871579,-1.3134786626627541,-1.140178389174956,0.17330027348779814,313,-1.6234928970348208,-1.6235709551194637,-1.6235319260771424,3.902904232144788e-05
0.2228642702102661,0.0019725561141967773,0.011696696281433105,0.0004976987838745117,True,3,0.8,2,2,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-0.4975256355086515,-0.8252861171496774,-0.6614058763291644,0.16388024082051295,28,-1.5927999659597842,-1.5902532126002848,-1.5915265892800345,0.0012733766797496937
0.41210007667541504,0.0015308856964111328,0.015906929969787598,0.0009807348251342773,True,3,0.8,2,2,200,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",-0.5726969875025917,-0.774606919047047,-0.6736519532748193,0.10095496577222768,34,-1.6454767436887616,-1.6404120617431317,-1.6429444027159468,0.0025323409728149615
