DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,DIVIDENDS,STOCK SPLITS,TICKER
2019-07-02,97.69999694824219,97.9000015258789,96.2300033569336,96.7699966430664,6646900,0.0,0.0,BOVA11.SA
2019-07-03,96.62000274658203,98.4800033569336,96.51000213623047,98.31999969482422,5507420,0.0,0.0,BOVA11.SA
2019-07-04,99.37999725341797,100.19999694824219,99.37000274658203,100.0,4635970,0.0,0.0,BOVA11.SA
2019-07-05,99.48999786376953,100.41000366210938,98.9000015258789,100.2699966430664,4040790,0.0,0.0,BOVA11.SA
2019-07-08,100.4800033569336,100.91000366210938,100.19999694824219,100.55999755859375,1696060,0.0,0.0,BOVA11.SA
2019-07-10,101.80000305175781,102.80000305175781,101.55999755859375,101.95999908447266,3795230,0.0,0.0,BOVA11.SA
2019-07-11,101.95999908447266,101.95999908447266,101.0,101.20999908447266,3255790,0.0,0.0,BOVA11.SA
2019-07-12,101.6500015258789,101.80000305175781,100.05000305175781,100.05000305175781,3267220,0.0,0.0,BOVA11.SA
2019-07-15,100.80000305175781,100.80000305175781,99.69999694824219,100.04000091552734,2894550,0.0,0.0,BOVA11.SA
2019-07-16,100.37000274658203,100.62000274658203,99.52999877929688,99.9000015258789,4863910,0.0,0.0,BOVA11.SA
2019-07-17,100.16000366210938,100.62999725341797,99.91000366210938,100.01000213623047,3360650,0.0,0.0,BOVA11.SA
2019-07-18,100.20999908447266,100.94999694824219,100.12000274658203,100.69999694824219,2699210,0.0,0.0,BOVA11.SA
2019-07-19,100.6500015258789,100.79000091552734,99.55999755859375,99.5999984741211,2632590,0.0,0.0,BOVA11.SA
2019-07-22,100.0,100.4800033569336,99.75,100.0,1711710,0.0,0.0,BOVA11.SA
2019-07-23,100.41000366210938,100.58999633789062,99.68000030517578,100.0999984741211,3282880,0.0,0.0,BOVA11.SA
2019-07-24,100.12000274658203,100.7699966430664,100.06999969482422,100.38999938964844,4363000,0.0,0.0,BOVA11.SA
2019-07-25,100.3499984741211,100.6500015258789,98.5999984741211,98.80000305175781,7070060,0.0,0.0,BOVA11.SA
2019-07-26,99.37999725341797,99.55000305175781,98.44999694824219,99.1500015258789,3616660,0.0,0.0,BOVA11.SA
2019-07-29,99.1500015258789,99.55999755859375,98.72000122070312,99.55999755859375,2292520,0.0,0.0,BOVA11.SA
2019-07-30,99.43000030517578,99.79000091552734,98.81999969482422,99.12000274658203,4129760,0.0,0.0,BOVA11.SA
