DATE,UNIDADE,QUANTIDADE
2023-02-03,DAC de Londrina,2215.0
2023-02-03,DAC de Macapá,1844.0
2023-02-03,DAC de Montes Claros,2094.0
2023-02-03,DAC de Mossoró,1399.0
2023-02-03,DAC de Ponta Grossa,744.0
2023-02-03,DAC de Rio Largo,5013.0
2023-02-03,DAC de Santa Maria,1515.0
2023-02-03,DAC de Santos,1831.0
2023-02-03,DAC de Serra,3528.0
2023-02-03,DAC de Socorro,6184.0
2023-02-03,DAC de São José,2388.0
2023-02-03,DAC de São José do Rio Preto,2304.0
2023-02-03,DAC de Teresina,3364.0
2023-02-04,CO de Araucária,3274.0
2023-02-04,CO de Barueri,12812.0
2023-02-04,CO de Belém,13990.0
2023-02-04,CO de Brasília,2576.0
2023-02-04,CO de Campo Grande,6356.0
2023-02-04,CO de Canoas,10743.0
2023-02-04,CO de Capuava,11284.0
2023-02-04,CO de Cascavel,2100.0
2023-02-04,CO de Cuiabá,3636.0
2023-02-04,CO de Duque de Caxias,19422.0
2023-02-04,CO de Fortaleza,14683.0
2023-02-04,CO de Goiânia,7280.0
2023-02-04,CO de Gurupi,1613.0
2023-02-04,CO de Ibirité,9302.0
2023-02-04,CO de Jardinópolis,4139.0
2023-02-04,CO de Mataripe,13417.0
2023-02-04,CO de Natal,6626.0
2023-02-04,CO de Passo Fundo,1254.0
2023-02-04,CO de Paulínia,6609.0
2023-02-04,CO de Pelotas,1580.0
2023-02-04,CO de Suape,25291.0
2023-02-04,CO de São José dos Campos,3637.0
2023-02-04,CO de São Luís,11187.0
2023-02-04,CO de Uberlândia,2259.0
2023-02-04,DAC de Aracaju,1208.0
2023-02-04,DAC de Bauru,1173.0
2023-02-04,DAC de Caxias do Sul,587.0
2023-02-04,DAC de Governador Valadares,1287.0
2023-02-04,DAC de Itajaí,274.0
2023-02-04,DAC de Itaobim,560.0
2023-02-04,DAC de Joinville,348.0
2023-02-04,DAC de João Pessoa,2697.0
2023-02-04,DAC de Juazeiro,600.0
2023-02-04,DAC de Londrina,197.0
2023-02-04,DAC de Montes Claros,1376.0
2023-02-04,DAC de Mossoró,1149.0
2023-02-04,DAC de Ponta Grossa,629.0
2023-02-04,DAC de Rio Largo,3269.0
2023-02-04,DAC de Santa Maria,600.0
2023-02-04,DAC de Santos,741.0
2023-02-04,DAC de Serra,2063.0
2023-02-04,DAC de Socorro,2081.0
2023-02-04,DAC de São José,93.0
2023-02-04,DAC de São José do Rio Preto,1330.0
2023-02-04,DAC de Teresina,1778.0
2023-02-05,CO de Belém,11957.0
2023-02-05,CO de Goiânia,30.0
2023-02-06,CO de Araucária,17612.0
2023-02-06,CO de Barueri,18602.0
2023-02-06,CO de Belém,15665.0
2023-02-06,CO de Brasília,6281.0
2023-02-06,CO de Campo Grande,7670.0
2023-02-06,CO de Canoas,16680.0
