mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_learning_rate,param_loss,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.08327515920003255,0.04006068664275475,0.007740179697672526,0.0027486316754522814,DecisionTreeRegressor(max_depth=1),1.0,linear,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 40, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5558495458298961,-0.6131553586605155,0.12947381565054183,589,-0.6945323564553936,-0.6761472487754718,-0.6765528781883847,-0.6824108278064167,0.00857281464460497
0.1244965394337972,0.01364482327439224,0.013082027435302734,0.0027461885089228263,DecisionTreeRegressor(max_depth=1),1.0,linear,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5558495458298961,-0.6131553586605155,0.12947381565054183,589,-0.6945323564553936,-0.6761472487754718,-0.6765528781883847,-0.6824108278064167,0.00857281464460497
0.06084084510803223,0.007767149880200558,0.006146351496378581,0.0003693890140707787,DecisionTreeRegressor(max_depth=1),1.0,linear,80,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 80, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5558495458298961,-0.6131553586605155,0.12947381565054183,589,-0.6945323564553936,-0.6761472487754718,-0.6765528781883847,-0.6824108278064167,0.00857281464460497
0.09652241071065266,0.00886908813649078,0.01030747095743815,0.0031336307464765673,DecisionTreeRegressor(max_depth=1),1.0,linear,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5558495458298961,-0.6131553586605155,0.12947381565054183,589,-0.6945323564553936,-0.6761472487754718,-0.6765528781883847,-0.6824108278064167,0.00857281464460497
0.11489001909891765,0.007607192558104695,0.009440024693806967,0.0023776601841199777,DecisionTreeRegressor(max_depth=1),1.0,linear,150,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 150, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5558495458298961,-0.6131553586605155,0.12947381565054183,589,-0.6945323564553936,-0.6761472487754718,-0.6765528781883847,-0.6824108278064167,0.00857281464460497
0.16420157750447592,0.04996061705516438,0.013801097869873047,0.006352666206249313,DecisionTreeRegressor(max_depth=1),1.0,square,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 40, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5484936047558929,-0.6107033783025145,0.13060060799775194,583,-0.6224420846827099,-0.6103838426551741,-0.6076180693172735,-0.6134813322183857,0.006436028230947407
0.19255169232686362,0.023954463482349614,0.016005436579386394,0.00419643740041602,DecisionTreeRegressor(max_depth=1),1.0,square,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 50, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5484936047558929,-0.6107033783025145,0.13060060799775194,583,-0.6224420846827099,-0.6103838426551741,-0.6076180693172735,-0.6134813322183857,0.006436028230947407
0.1940478483835856,0.0625786857401594,0.01409769058227539,0.006393812567726229,DecisionTreeRegressor(max_depth=1),1.0,square,80,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 80, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5484936047558929,-0.6107033783025145,0.13060060799775194,583,-0.6224420846827099,-0.6103838426551741,-0.6076180693172735,-0.6134813322183857,0.006436028230947407
0.2042058308919271,0.06029140684695117,0.013925631841023764,0.0039013484704149724,DecisionTreeRegressor(max_depth=1),1.0,square,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5484936047558929,-0.6107033783025145,0.13060060799775194,583,-0.6224420846827099,-0.6103838426551741,-0.6076180693172735,-0.6134813322183857,0.006436028230947407
0.21141918500264487,0.04997271896335016,0.017154852549235027,0.0049935232067011654,DecisionTreeRegressor(max_depth=1),1.0,square,150,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 150, 'random_state': 42}",-0.7924144942648341,-0.49120203588681655,-0.5484936047558929,-0.6107033783025145,0.13060060799775194,583,-0.6224420846827099,-0.6103838426551741,-0.6076180693172735,-0.6134813322183857,0.006436028230947407
0.29796036084493,0.058724373007861756,0.026148875554402668,0.001690237520309014,DecisionTreeRegressor(max_depth=1),1.0,exponential,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'exponential', 'n_estimators': 40, 'random_state': 42}",-0.7962402022756014,-0.5085894702312661,-0.5618375206308287,-0.6222223977125654,0.12495462095374955,607,-0.6938667626474997,-0.694187380785661,-0.7019118319805558,-0.6966553251379056,0.0037192156106498077
