mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.06575671831766765,0.0018083731837048537,0.004990418752034505,0.001110248149183847,True,3,0.8,1,2,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 40, 'random_state': 42}",-1.1920341664446101,-0.9427288391714066,-1.2381699035323177,-1.1243109697161113,0.12977205441085846,2497,-1.6103913360546938,-1.6095876441543795,-1.608285344817741,-1.6094214416756047,0.0008677623409258287
0.10660195350646973,0.0005828016225734114,0.0064961910247802734,0.0001668842631275572,True,3,0.8,1,2,60,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 60, 'random_state': 42}",-1.0688873678501605,-0.5941228664530911,-0.8052459971915036,-0.8227520771649184,0.1942166832410451,923,-1.6260100142350673,-1.6245836017296318,-1.6178589203346938,-1.6228175120997976,0.003554282616659543
0.12840906778971353,0.010951106536723754,0.0063029130299886065,0.0014361191395915313,True,3,0.8,1,2,80,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 42}",-1.1155027281276457,-0.5332816306039254,-0.7958518649771074,-0.8148787412362261,0.2380712331993182,822,-1.6007595155073477,-1.5963971602299882,-1.5898120034355374,-1.5956562263909577,0.004499906840218918
0.1583860715230306,0.012894804312491286,0.006852467854817708,0.001155679138271624,True,3,0.8,1,2,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-1.1298229406610412,-0.4729332255521683,-0.8791434228723379,-0.8272998630285158,0.27066811224192877,997,-1.6064374250857931,-1.601526425635136,-1.5960272872316366,-1.601330379317522,0.00425218125629842
0.24564441045125326,0.008321402111690999,0.010943015416463217,0.001475541136010582,True,3,0.8,1,2,150,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150, 'random_state': 42}",-1.0064345886958515,-0.4414539323314313,-0.7449616145124744,-0.730950045179919,0.23086508119514815,142,-1.6391967193110761,-1.6323452774457656,-1.624953834310845,-1.632165277022562,0.005816026329417574
0.06655724843343098,0.002700131830969519,0.005087534586588542,0.00031820502311619267,True,3,0.8,1,3,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 40, 'random_state': 42}",-1.1920341664446101,-0.9427288391714066,-1.2381699035323177,-1.1243109697161113,0.12977205441085846,2497,-1.6103913360546938,-1.6095876441543795,-1.608285344817741,-1.6094214416756047,0.0008677623409258287
0.10284034411112468,0.00393889616650716,0.005214770634969075,0.0010887223772382119,True,3,0.8,1,3,60,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 60, 'random_state': 42}",-1.0688873678501605,-0.5941228664530911,-0.8052459971915036,-0.8227520771649184,0.1942166832410451,923,-1.6260100142350673,-1.6245836017296318,-1.6178589203346938,-1.6228175120997976,0.003554282616659543
0.11807433764139812,0.014342147376844699,0.006165981292724609,0.001459402416274717,True,3,0.8,1,3,80,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 80, 'random_state': 42}",-1.1155027281276457,-0.5332816306039254,-0.7958518649771074,-0.8148787412362261,0.2380712331993182,822,-1.6007595155073477,-1.5963971602299882,-1.5898120034355374,-1.5956562263909577,0.004499906840218918
0.15541799863179526,0.008710927097483738,0.007316112518310547,0.0013090092089292067,True,3,0.8,1,3,100,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100, 'random_state': 42}",-1.1412026859440576,-0.5076246933798733,-0.8693910004283814,-0.8394061265841041,0.25952467790174705,1147,-1.6079644486154345,-1.6029630558161638,-1.5974850791829005,-1.6028041945381666,0.004279659145704432
0.24335185686747232,0.0010650268025177063,0.010474602381388346,0.00190577424491225,True,3,0.8,1,3,150,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 150, 'random_state': 42}",-1.01398535905547,-0.4488517860044234,-0.7331312314613753,-0.7319894588404229,0.2307162276923741,143,-1.6341059998731073,-1.6268100211104766,-1.619614856354983,-1.6268436257795222,0.005916032289243373
0.06793657938639323,0.006764261948949118,0.004586219787597656,1.6051550388973515e-05,True,3,0.8,1,5,40,42,"{'bootstrap': True, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 40, 'random_state': 42}",-1.2262855788098506,-0.9303467501064213,-1.1529582006754262,-1.1031968431972328,0.12583611592634772,2484,-1.6256043834367484,-1.6250124389057057,-1.6239839616353597,-1.6248669279926045,0.0006694882488276892
