mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_learning_rate,param_loss,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.1449130376180013,0.03249414193567513,0.012463728586832682,0.004458878941092856,DecisionTreeRegressor(max_depth=1),1.0,linear,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 40, 'random_state': 42}",-1.2659890627606916,-1.073362562692125,-1.274874837662343,-1.2047421543717198,0.09297019981809049,578,-0.829091347134835,-0.8460188483117366,-0.858496247057846,-0.8445354808348058,0.012050237042600302
0.20573989550272623,0.03599317742427313,0.018282492955525715,0.000650712642332182,DecisionTreeRegressor(max_depth=1),1.0,linear,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}",-1.2659890627606916,-1.073362562692125,-1.274874837662343,-1.2047421543717198,0.09297019981809049,578,-0.829091347134835,-0.8460188483117366,-0.858496247057846,-0.8445354808348058,0.012050237042600302
0.15076128641764322,0.030181864800933475,0.013125340143839518,0.006574375484099536,DecisionTreeRegressor(max_depth=1),1.0,linear,80,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 80, 'random_state': 42}",-1.2659890627606916,-1.073362562692125,-1.274874837662343,-1.2047421543717198,0.09297019981809049,578,-0.829091347134835,-0.8460188483117366,-0.858496247057846,-0.8445354808348058,0.012050237042600302
0.18624273935953775,0.04896472023567323,0.01858361562093099,0.0005884216043250605,DecisionTreeRegressor(max_depth=1),1.0,linear,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",-1.2659890627606916,-1.073362562692125,-1.274874837662343,-1.2047421543717198,0.09297019981809049,578,-0.829091347134835,-0.8460188483117366,-0.858496247057846,-0.8445354808348058,0.012050237042600302
0.1690807342529297,0.02130099975821496,0.01518106460571289,0.005720853545545341,DecisionTreeRegressor(max_depth=1),1.0,linear,150,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 150, 'random_state': 42}",-1.2659890627606916,-1.073362562692125,-1.274874837662343,-1.2047421543717198,0.09297019981809049,578,-0.829091347134835,-0.8460188483117366,-0.858496247057846,-0.8445354808348058,0.012050237042600302
0.2986360390981038,0.037119253031776454,0.02452508608500163,0.0024495268564831978,DecisionTreeRegressor(max_depth=1),1.0,square,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 40, 'random_state': 42}",-0.6639522071602448,-0.40801451247170234,-0.7072650616135692,-0.5930772604151721,0.13204839099742913,558,-0.6821439300665829,-0.6313905978765566,-0.6371226007268996,-0.6502190428900131,0.0226952679369749
0.33952681223551434,0.07338675467660837,0.02441573143005371,0.011488625310975593,DecisionTreeRegressor(max_depth=1),1.0,square,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 50, 'random_state': 42}",-0.6639522071602448,-0.24982710246052037,-0.6455998749317651,-0.51979306151751,0.1910417342043815,555,-0.6518538724549097,-0.6256271877801057,-0.6019199026364884,-0.6264669876238346,0.020394105084392992
0.5514000256856283,0.0906043414737626,0.036824305852254234,0.01117104645731742,DecisionTreeRegressor(max_depth=1),1.0,square,80,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 80, 'random_state': 42}",-0.32497857142858627,-0.10631334008698243,-0.3284593406593301,-0.25325041739163295,0.10390992077671266,540,-0.5913413882888972,-0.5654280220249341,-0.6411864762019205,-0.599318628838584,0.031438438467501426
0.5608200232187907,0.021067462203467408,0.049352407455444336,0.007597936059593814,DecisionTreeRegressor(max_depth=1),1.0,square,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",-0.2585217740639885,-0.07823723489932886,-0.3630944385824955,-0.23328448251527098,0.11765372153367272,538,-0.6207405582524831,-0.5987768176158228,-0.6238315665653985,-0.6144496474779015,0.011153976271921348
0.7664267222086588,0.24796620850907308,0.04338709513346354,0.009319500939106143,DecisionTreeRegressor(max_depth=1),1.0,square,150,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 150, 'random_state': 42}",-0.21876098589267226,-0.04833614612531407,-0.3630944385824955,-0.2100638568668273,0.1286466108054912,527,-0.6984985789387014,-0.6485292829573245,-0.6238315665653985,-0.6569531428204748,0.03105920953527565
0.23626240094502768,0.04270386934255689,0.015432993570963541,0.003980025606146732,DecisionTreeRegressor(max_depth=1),1.0,exponential,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'exponential', 'n_estimators': 40, 'random_state': 42}",-0.4706943335993706,-0.3425049322361962,-0.5818187667150424,-0.46500601085020304,0.09778222607753131,552,-0.7572693238552324,-0.781679740668637,-0.7415766095023079,-0.7601752246753924,0.01650047427638379
