mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_learning_rate,param_loss,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.04795563220977783,0.0006383657455444336,0.0058165788650512695,0.00016486644744873047,DecisionTreeRegressor(max_depth=1),1.0,linear,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}",-7.408659931540408,-7.706742051424773,-7.557700991482591,0.14904105994218275,170,-5.942900472914945,-5.269004966690722,-5.605952719802834,0.33694775311211167
0.04687356948852539,0.0006833076477050781,0.006521940231323242,0.00016760826110839844,DecisionTreeRegressor(max_depth=1),1.0,linear,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",-7.408659931540408,-7.706742051424773,-7.557700991482591,0.14904105994218275,170,-5.942900472914945,-5.269004966690722,-5.605952719802834,0.33694775311211167
0.04573976993560791,0.0004636049270629883,0.0075571537017822266,0.0007302761077880859,DecisionTreeRegressor(max_depth=1),1.0,linear,200,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 200, 'random_state': 42}",-7.408659931540408,-7.706742051424773,-7.557700991482591,0.14904105994218275,170,-5.942900472914945,-5.269004966690722,-5.605952719802834,0.33694775311211167
0.15873265266418457,0.00929880142211914,0.0165330171585083,0.0005372762680053711,DecisionTreeRegressor(max_depth=1),1.0,square,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 50, 'random_state': 42}",-4.2078144573907,-6.390663898276852,-5.299239177833776,1.0914247204430758,146,-3.6705983125208417,-4.012572554701847,-3.8415854336113444,0.17098712109050251
0.31319403648376465,0.01834845542907715,0.025690436363220215,0.0017682313919067383,DecisionTreeRegressor(max_depth=1),1.0,square,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",-4.875236962642302,-6.210671487387067,-5.542954225014684,0.6677172623723826,147,-4.411563364402468,-4.6386079797192235,-4.525085672060846,0.11352230765837756
0.6186103820800781,0.031912803649902344,0.047759413719177246,0.0005856752395629883,DecisionTreeRegressor(max_depth=1),1.0,square,200,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 200, 'random_state': 42}",-4.773090997936261,-5.443630429701584,-5.108360713818922,0.33526971588266186,145,-4.516217135441691,-4.557686289748166,-4.536951712594929,0.020734577153237677
0.1691058874130249,0.012570500373840332,0.013086318969726562,0.001683950424194336,DecisionTreeRegressor(max_depth=1),1.0,exponential,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'exponential', 'n_estimators': 50, 'random_state': 42}",-7.350322734625494,-8.153834110432754,-7.752078422529124,0.40175568790363014,180,-5.328032546226586,-4.933598165572991,-5.130815355899788,0.19721719032679763
0.35403478145599365,0.04344046115875244,0.025327205657958984,0.0004475116729736328,DecisionTreeRegressor(max_depth=1),1.0,exponential,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'exponential', 'n_estimators': 100, 'random_state': 42}",-7.2291019293329635,-7.814667739028197,-7.521884834180581,0.2927829048476167,167,-4.760083387446114,-4.210584566830941,-4.485333977138527,0.2747494103075865
0.7087759971618652,0.061838626861572266,0.048415303230285645,0.00248110294342041,DecisionTreeRegressor(max_depth=1),1.0,exponential,200,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'exponential', 'n_estimators': 200, 'random_state': 42}",-7.239757990032959,-7.9242718519522795,-7.582014920992619,0.34225693095966037,175,-4.571785108251105,-4.203306944845794,-4.387546026548449,0.1842390817026556
0.09090054035186768,0.022453665733337402,0.010486245155334473,0.0014585256576538086,DecisionTreeRegressor(max_depth=1),0.5,linear,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}",-7.226899540879544,-6.607798908318354,-6.917349224598949,0.30955031628059526,150,-5.873447629476466,-4.664716662031052,-5.269082145753758,0.6043654837227073
0.11363041400909424,0.003301262855529785,0.010963082313537598,0.0023974180221557617,DecisionTreeRegressor(max_depth=1),0.5,linear,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",-7.226899540879544,-6.607798908318354,-6.917349224598949,0.30955031628059526,150,-5.873447629476466,-4.664716662031052,-5.269082145753758,0.6043654837227073
0.10515820980072021,0.016105055809020996,0.009769201278686523,0.002602100372314453,DecisionTreeRegressor(max_depth=1),0.5,linear,200,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 0.5, 'loss': 'linear', 'n_estimators': 200, 'random_state': 42}",-7.226899540879544,-6.607798908318354,-6.917349224598949,0.30955031628059526,150,-5.873447629476466,-4.664716662031052,-5.269082145753758,0.6043654837227073
