DATE,UNIDADE,QUANTIDADE,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,QUANTIDADE_LAG_1,QUANTIDADE_LAG_2,QUANTIDADE_MA_3
2023-04-12,CO de Araucária,16465.0,12,2,2,4,2,2023,20994.0,17624.0,16867.333
2023-04-13,CO de Araucária,16532.0,13,3,2,4,2,2023,16465.0,20994.0,18361.0
2023-04-14,CO de Araucária,13870.0,14,4,2,4,2,2023,16532.0,16465.0,17997.0
2023-04-15,CO de Araucária,9869.0,15,5,3,4,2,2023,13870.0,16532.0,15622.333
2023-04-17,CO de Araucária,19789.0,17,0,3,4,2,2023,9869.0,13870.0,13423.667
2023-04-18,CO de Araucária,16748.0,18,1,3,4,2,2023,19789.0,9869.0,14509.333
2023-04-19,CO de Araucária,15327.0,19,2,3,4,2,2023,16748.0,19789.0,15468.667
2023-04-20,CO de Araucária,16856.0,20,3,3,4,2,2023,15327.0,16748.0,17288.0
2023-04-21,CO de Araucária,4048.0,21,4,3,4,2,2023,16856.0,15327.0,16310.333
2023-04-22,CO de Araucária,11900.0,22,5,4,4,2,2023,4048.0,16856.0,12077.0
2023-04-24,CO de Araucária,16366.0,24,0,4,4,2,2023,11900.0,4048.0,10934.667
2023-04-25,CO de Araucária,18189.0,25,1,4,4,2,2023,16366.0,11900.0,10771.333
2023-04-26,CO de Araucária,17058.0,26,2,4,4,2,2023,18189.0,16366.0,15485.0
2023-04-27,CO de Araucária,17012.0,27,3,4,4,2,2023,17058.0,18189.0,17204.333
2023-04-28,CO de Araucária,14220.0,28,4,4,4,2,2023,17012.0,17058.0,17419.667
2023-04-29,CO de Araucária,11735.0,29,5,5,4,2,2023,14220.0,17012.0,16096.667
2023-05-02,CO de Araucária,10051.0,2,1,1,5,2,2023,11735.0,14220.0,14322.333
2023-05-03,CO de Araucária,12457.0,3,2,1,5,2,2023,10051.0,11735.0,12002.0
2023-05-04,CO de Araucária,8531.0,4,3,1,5,2,2023,12457.0,10051.0,11414.333
2023-05-05,CO de Araucária,12319.0,5,4,1,5,2,2023,8531.0,12457.0,10346.333
2023-05-06,CO de Araucária,8762.0,6,5,1,5,2,2023,12319.0,8531.0,11102.333
2023-05-08,CO de Araucária,10306.0,8,0,2,5,2,2023,8762.0,12319.0,9870.667
2023-05-09,CO de Araucária,9638.0,9,1,2,5,2,2023,10306.0,8762.0,10462.333
2023-05-10,CO de Araucária,8632.0,10,2,2,5,2,2023,9638.0,10306.0,9568.667
2023-05-11,CO de Araucária,7295.0,11,3,2,5,2,2023,8632.0,9638.0,9525.333
2023-05-12,CO de Araucária,11712.0,12,4,2,5,2,2023,7295.0,8632.0,8521.667
2023-05-13,CO de Araucária,4626.0,13,5,2,5,2,2023,11712.0,7295.0,9213.0
2023-05-15,CO de Araucária,8684.0,15,0,3,5,2,2023,4626.0,11712.0,7877.667
2023-05-16,CO de Araucária,5225.0,16,1,3,5,2,2023,8684.0,4626.0,8340.667
2023-05-17,CO de Araucária,10467.0,17,2,3,5,2,2023,5225.0,8684.0,6178.333
2023-05-18,CO de Araucária,10526.0,18,3,3,5,2,2023,10467.0,5225.0,8125.333
2023-05-19,CO de Araucária,8696.0,19,4,3,5,2,2023,10526.0,10467.0,8739.333
2023-05-20,CO de Araucária,4690.0,20,5,3,5,2,2023,8696.0,10526.0,9896.333
2023-05-22,CO de Araucária,12573.0,22,0,4,5,2,2023,4690.0,8696.0,7970.667
2023-05-23,CO de Araucária,12255.0,23,1,4,5,2,2023,12573.0,4690.0,8653.0
2023-05-24,CO de Araucária,8955.0,24,2,4,5,2,2023,12255.0,12573.0,9839.333
2023-05-25,CO de Araucária,8558.0,25,3,4,5,2,2023,8955.0,12255.0,11261.0
2023-05-26,CO de Araucária,8802.0,26,4,4,5,2,2023,8558.0,8955.0,9922.667
2023-05-27,CO de Araucária,3830.0,27,5,4,5,2,2023,8802.0,8558.0,8771.667
2023-05-29,CO de Araucária,9635.0,29,0,5,5,2,2023,3830.0,8802.0,7063.333
2023-05-30,CO de Araucária,12434.0,30,1,5,5,2,2023,9635.0,3830.0,7422.333
2023-05-31,CO de Araucária,8977.0,31,2,5,5,2,2023,12434.0,9635.0,8633.0
2023-06-01,CO de Araucária,10682.0,1,3,1,6,2,2023,8977.0,12434.0,10348.667
2023-06-02,CO de Araucária,13055.0,2,4,1,6,2,2023,10682.0,8977.0,10697.667
2023-06-03,CO de Araucária,7740.0,3,5,1,6,2,2023,13055.0,10682.0,10904.667
2023-06-05,CO de Araucária,12036.0,5,0,1,6,2,2023,7740.0,13055.0,10492.333
2023-06-06,CO de Araucária,11171.0,6,1,1,6,2,2023,12036.0,7740.0,10943.667
2023-06-07,CO de Araucária,12261.0,7,2,1,6,2,2023,11171.0,12036.0,10315.667
2023-06-09,CO de Araucária,11177.0,9,4,2,6,2,2023,12261.0,11171.0,11822.667
2023-06-10,CO de Araucária,4859.0,10,5,2,6,2,2023,11177.0,12261.0,11536.333
2023-06-12,CO de Araucária,12733.0,12,0,2,6,2,2023,4859.0,11177.0,9432.333
2023-06-13,CO de Araucária,9569.0,13,1,2,6,2,2023,12733.0,4859.0,9589.667
2023-06-14,CO de Araucária,10542.0,14,2,2,6,2,2023,9569.0,12733.0,9053.667
2023-06-15,CO de Araucária,11024.0,15,3,3,6,2,2023,10542.0,9569.0,10948.0
2023-06-16,CO de Araucária,9806.0,16,4,3,6,2,2023,11024.0,10542.0,10378.333
2023-06-17,CO de Araucária,5317.0,17,5,3,6,2,2023,9806.0,11024.0,10457.333
2023-06-19,CO de Araucária,13117.0,19,0,3,6,2,2023,5317.0,9806.0,8715.667
2023-06-20,CO de Araucária,11524.0,20,1,3,6,2,2023,13117.0,5317.0,9413.333
2023-06-21,CO de Araucária,13081.0,21,2,3,6,2,2023,11524.0,13117.0,9986.0
2023-06-22,CO de Araucária,10442.0,22,3,4,6,2,2023,13081.0,11524.0,12574.0
2023-06-23,CO de Araucária,9575.0,23,4,4,6,2,2023,10442.0,13081.0,11682.333
2023-06-24,CO de Araucária,6578.0,24,5,4,6,2,2023,9575.0,10442.0,11032.667
2023-06-26,CO de Araucária,12544.0,26,0,4,6,2,2023,6578.0,9575.0,8865.0
2023-06-27,CO de Araucária,10152.0,27,1,4,6,2,2023,12544.0,6578.0,9565.667
2023-06-28,CO de Araucária,14463.0,28,2,4,6,2,2023,10152.0,12544.0,9758.0
2023-06-29,CO de Araucária,9370.0,29,3,5,6,2,2023,14463.0,10152.0,12386.333
2023-06-30,CO de Araucária,12901.0,30,4,5,6,2,2023,9370.0,14463.0,11328.333
2023-07-01,CO de Araucária,6279.0,1,5,1,7,3,2023,12901.0,9370.0,12244.667
2023-07-03,CO de Araucária,14791.0,3,0,1,7,3,2023,6279.0,12901.0,9516.667
2023-07-04,CO de Araucária,14543.0,4,1,1,7,3,2023,14791.0,6279.0,11323.667
2023-07-05,CO de Araucária,17787.0,5,2,1,7,3,2023,14543.0,14791.0,11871.0
2023-07-06,CO de Araucária,12850.0,6,3,1,7,3,2023,17787.0,14543.0,15707.0
2023-07-07,CO de Araucária,16411.0,7,4,1,7,3,2023,12850.0,17787.0,15060.0
2023-07-17,CO de Araucária,18215.0,17,0,3,7,3,2023,16411.0,12850.0,15682.667
2023-07-18,CO de Araucária,15753.0,18,1,3,7,3,2023,18215.0,16411.0,15825.333
2023-07-19,CO de Araucária,13133.0,19,2,3,7,3,2023,15753.0,18215.0,16793.0
2023-07-20,CO de Araucária,15446.0,20,3,3,7,3,2023,13133.0,15753.0,15700.333
2023-07-21,CO de Araucária,15423.0,21,4,3,7,3,2023,15446.0,13133.0,14777.333
2023-07-22,CO de Araucária,8393.0,22,5,4,7,3,2023,15423.0,15446.0,14667.333
2023-07-24,CO de Araucária,18574.0,24,0,4,7,3,2023,8393.0,15423.0,13087.333
2023-07-25,CO de Araucária,12979.0,25,1,4,7,3,2023,18574.0,8393.0,14130.0
2023-07-26,CO de Araucária,16653.0,26,2,4,7,3,2023,12979.0,18574.0,13315.333
2023-07-27,CO de Araucária,12853.0,27,3,4,7,3,2023,16653.0,12979.0,16068.667
2023-07-28,CO de Araucária,13203.0,28,4,4,7,3,2023,12853.0,16653.0,14161.667
2023-07-29,CO de Araucária,10801.0,29,5,5,7,3,2023,13203.0,12853.0,14236.333
2023-07-31,CO de Araucária,16935.0,31,0,5,7,3,2023,10801.0,13203.0,12285.667
2023-08-01,CO de Araucária,7373.0,1,1,1,8,3,2023,16935.0,10801.0,13646.333
2023-08-02,CO de Araucária,7547.0,2,2,1,8,3,2023,7373.0,16935.0,11703.0
2023-08-03,CO de Araucária,10532.0,3,3,1,8,3,2023,7547.0,7373.0,10618.333
2023-08-04,CO de Araucária,9543.0,4,4,1,8,3,2023,10532.0,7547.0,8484.0
2023-08-05,CO de Araucária,7114.0,5,5,1,8,3,2023,9543.0,10532.0,9207.333
2023-08-07,CO de Araucária,7850.0,7,0,1,8,3,2023,7114.0,9543.0,9063.0
2023-08-08,CO de Araucária,11176.0,8,1,2,8,3,2023,7850.0,7114.0,8169.0
2023-08-09,CO de Araucária,10610.0,9,2,2,8,3,2023,11176.0,7850.0,8713.333
2023-08-10,CO de Araucária,10988.0,10,3,2,8,3,2023,10610.0,11176.0,9878.667
2023-08-11,CO de Araucária,9893.0,11,4,2,8,3,2023,10988.0,10610.0,10924.667
2023-08-12,CO de Araucária,7670.0,12,5,2,8,3,2023,9893.0,10988.0,10497.0
2023-08-14,CO de Araucária,13222.0,14,0,2,8,3,2023,7670.0,9893.0,9517.0
2023-08-15,CO de Araucária,10020.0,15,1,3,8,3,2023,13222.0,7670.0,10261.667
2023-08-16,CO de Araucária,9361.0,16,2,3,8,3,2023,10020.0,13222.0,10304.0
2023-08-17,CO de Araucária,10231.0,17,3,3,8,3,2023,9361.0,10020.0,10867.667
2023-08-18,CO de Araucária,10140.0,18,4,3,8,3,2023,10231.0,9361.0,9870.667
2023-08-19,CO de Araucária,7534.0,19,5,3,8,3,2023,10140.0,10231.0,9910.667
2023-08-21,CO de Araucária,10524.0,21,0,3,8,3,2023,7534.0,10140.0,9301.667
2023-08-22,CO de Araucária,10004.0,22,1,4,8,3,2023,10524.0,7534.0,9399.333
2023-08-23,CO de Araucária,9792.0,23,2,4,8,3,2023,10004.0,10524.0,9354.0
2023-08-24,CO de Araucária,9738.0,24,3,4,8,3,2023,9792.0,10004.0,10106.667
2023-08-25,CO de Araucária,8695.0,25,4,4,8,3,2023,9738.0,9792.0,9844.667
2023-08-26,CO de Araucária,7419.0,26,5,4,8,3,2023,8695.0,9738.0,9408.333
2023-08-28,CO de Araucária,12324.0,28,0,4,8,3,2023,7419.0,8695.0,8617.333
2023-08-29,CO de Araucária,10920.0,29,1,5,8,3,2023,12324.0,7419.0,9479.333
2023-08-30,CO de Araucária,12104.0,30,2,5,8,3,2023,10920.0,12324.0,10221.0
