mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator,param_learning_rate,param_loss,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.1730788548787435,0.04654758613512491,0.0102232297261556,0.0008007365347558968,DecisionTreeRegressor(max_depth=1),1.0,linear,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 40, 'random_state': 42}",-2.7475826575171682,-2.9610917030567774,-3.2252642390289306,-2.977979533200959,0.1953779626503949,612,-1.8492750758094285,-1.8996923839251103,-1.9126647606953655,-1.8872107401433016,0.027342355556981224
0.2646685441335042,0.03392172634390829,0.014194488525390625,0.004370603064428696,DecisionTreeRegressor(max_depth=1),1.0,linear,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 50, 'random_state': 42}",-2.7475826575171682,-2.9610917030567774,-3.2252642390289306,-2.977979533200959,0.1953779626503949,612,-1.8492750758094285,-1.8996923839251103,-1.9126647606953655,-1.8872107401433016,0.027342355556981224
0.24057467778523764,0.03493479596675383,0.017412821451822918,0.005574975730673259,DecisionTreeRegressor(max_depth=1),1.0,linear,80,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 80, 'random_state': 42}",-2.7475826575171682,-2.9610917030567774,-3.2252642390289306,-2.977979533200959,0.1953779626503949,612,-1.8492750758094285,-1.8996923839251103,-1.9126647606953655,-1.8872107401433016,0.027342355556981224
0.18241484959920248,0.002175466524876014,0.020496209462483723,0.0012636878986198232,DecisionTreeRegressor(max_depth=1),1.0,linear,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 100, 'random_state': 42}",-2.7475826575171682,-2.9610917030567774,-3.2252642390289306,-2.977979533200959,0.1953779626503949,612,-1.8492750758094285,-1.8996923839251103,-1.9126647606953655,-1.8872107401433016,0.027342355556981224
0.21172189712524414,0.020406863743867947,0.01931285858154297,0.00047527681801608896,DecisionTreeRegressor(max_depth=1),1.0,linear,150,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'linear', 'n_estimators': 150, 'random_state': 42}",-2.7475826575171682,-2.9610917030567774,-3.2252642390289306,-2.977979533200959,0.1953779626503949,612,-1.8492750758094285,-1.8996923839251103,-1.9126647606953655,-1.8872107401433016,0.027342355556981224
0.22553491592407227,0.031078043380385275,0.025880893071492512,0.004237209533810824,DecisionTreeRegressor(max_depth=1),1.0,square,40,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 40, 'random_state': 42}",-2.550618298555354,-2.623032188841169,-2.8550691997452406,-2.6762398957139215,0.12986116397092728,552,-1.6497902027917934,-1.5890598275619314,-1.544520759967055,-1.5944569301069267,0.043145184629485724
0.29085731506347656,0.013835458584548668,0.020187775293986004,0.006334463350477252,DecisionTreeRegressor(max_depth=1),1.0,square,50,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 50, 'random_state': 42}",-2.550618298555354,-2.623032188841169,-3.041372051624307,-2.738340846340277,0.2163051492814424,565,-1.385850324256635,-1.3480737174060071,-1.5116220510904415,-1.4151820309176946,0.06991554965087812
0.5385041236877441,0.031700412687552026,0.02800440788269043,0.010189264677739718,DecisionTreeRegressor(max_depth=1),1.0,square,80,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 80, 'random_state': 42}",-2.5236955266953105,-2.680645863570295,-2.7555648783530766,-2.653302089539561,0.09661473505020199,547,-1.3805071316777262,-1.3257897890449941,-1.3239931101737963,-1.3434300102988388,0.026227742450188257
0.6203064123789469,0.0463756974627139,0.03934073448181152,0.012842654705336774,DecisionTreeRegressor(max_depth=1),1.0,square,100,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 100, 'random_state': 42}",-2.5236955266953105,-2.623032188841169,-2.7555648783530766,-2.634097531296519,0.09498308766051924,543,-1.357742091617019,-1.2982197616132454,-1.3067245889617265,-1.3208954807306637,0.02628481909664123
0.8106960455576578,0.041807946600524566,0.05663442611694336,0.015530406446795294,DecisionTreeRegressor(max_depth=1),1.0,square,150,42,"{'estimator': DecisionTreeRegressor(max_depth=1), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 150, 'random_state': 42}",-2.3392934422608187,-2.3704838709676435,-2.5844717261904395,-2.4314163464729677,0.10897300172083481,541,-1.41126015547978,-1.3760362176256635,-1.3064439725358468,-1.3645801152137633,0.04355104104066073
