mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_seed,param_subsample,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.04378664493560791,0.004856705665588379,0.004956722259521484,0.0003180503845214844,1.0,0,0.3,3,40,1.0,0.5,42,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 40, 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}",-0.8222208949497757,-1.1868201991489988,-1.0045205470493872,0.18229965209961158,444,-0.9651347099885306,-0.9882709769084319,-0.9767028434484812,0.011568133459950669
0.032044291496276855,0.0018674135208129883,0.0052073001861572266,0.0004138946533203125,1.0,0,0.3,3,40,1.0,0.5,42,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 40, 'reg_alpha': 1.0, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 1.0}",-1.112847420828682,-1.0381418282645123,-1.075494624546597,0.03735279628208488,535,-0.9567276722051195,-0.9506185848472172,-0.9536731285261684,0.003054543678951138
0.06883370876312256,0.003924012184143066,0.012846827507019043,0.003347039222717285,1.0,0,0.3,3,100,0,1,42,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'seed': 42, 'subsample': 0.8}",-1.0885946655273426,-1.0200329153878382,-1.0543137904575905,0.03428087506975219,514,-0.8056012737702188,-0.8094559632838741,-0.8075286185270465,0.0019273447568276536
0.06781411170959473,0.005614519119262695,0.006097674369812012,0.0005034208297729492,1.0,0,0.3,3,100,0,1,42,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'seed': 42, 'subsample': 1.0}",-1.275658700125557,-0.975986240931923,-1.12582247052874,0.14983622959681703,591,-0.7858682076019109,-0.7938558587189216,-0.7898620331604163,0.0039938255585053595
0.07164514064788818,0.0025404691696166992,0.0065004825592041016,0.0009424686431884766,1.0,0,0.3,3,100,0,0.5,42,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}",-1.0725795200892836,-1.1311713954380613,-1.1018754577636725,0.029295937674388872,566,-0.7934767282096992,-0.8045805116585101,-0.7990286199341046,0.0055518917244054555
0.07409870624542236,0.0011893510818481445,0.005285859107971191,0.0005522966384887695,1.0,0,0.3,3,100,0,0.5,42,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 1.0}",-1.2350877598353784,-1.0000711495535748,-1.1175794546944766,0.11750830514090183,582,-0.7669752463700826,-0.7717831522789372,-0.7693791993245099,0.002403952954427302
0.07508194446563721,0.0039037466049194336,0.006877541542053223,0.0026029348373413086,1.0,0,0.3,3,100,0.5,1,42,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 1, 'seed': 42, 'subsample': 0.8}",-1.0617708042689722,-1.0748130580357176,-1.0682919311523449,0.0065211268833726965,527,-0.8117103040540538,-0.8176437945785273,-0.8146770493162905,0.0029667452622367807
0.07569503784179688,0.009778499603271484,0.008581995964050293,0.003863692283630371,1.0,0,0.3,3,100,0.5,1,42,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 1, 'seed': 42, 'subsample': 1.0}",-1.2197047206333695,-0.9781148420061417,-1.0989097813197557,0.1207949393136139,564,-0.7892082932930711,-0.7907551285187662,-0.7899817109059186,0.000773417612847549
0.089455246925354,0.013004899024963379,0.004875898361206055,8.654594421386719e-05,1.0,0,0.3,3,100,0.5,0.5,42,0.8,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}",-1.1342783900669633,-1.1847999354771221,-1.1595391627720426,0.025260772705079426,614,-0.79809583671751,-0.8038671953282058,-0.8009815160228579,0.002885679305347888
0.06426668167114258,0.000980377197265625,0.005662798881530762,0.0004304647445678711,1.0,0,0.3,3,100,0.5,0.5,42,1.0,"{'colsample_bytree': 1.0, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 1.0}",-1.203911873953682,-1.0057888357979945,-1.1048503548758384,0.09906151907784377,570,-0.7808135475202429,-0.7843766603252397,-0.7825951039227412,0.0017815564024983854
